,Fundo,Emissão,Preço,DatadeEncerramento,CaptaçãoFinal,ResultadodoRateio,TipodeOferta,DatadeConversão,LiberaçãodoLockup,YouTube,Database,PeríododeNegociação,PeríododePreferência,PeríododeSobras,PeríodoPúblico,ProporçãodePreferência,ProporçãodeSobras,InvestimentoMínimo,CaptaçãoMínima,CaptaçãoMáxima,CoordenadorLíder,MétododeRateio,Observações,Documentação,PreçoTotalM
24,BCRI11,8ª,"R$ 100,00",18.12.20,"R$ 80.000.000,00",,Oferta Restrita (ICVM 476),13.01.21,Não há,,13.11.20,Não há,20.11 até 02.12.20Liquidação: 03.12.20,04.12 até 10.12.20Liquidação: 17.12.20,Não há,"0,22222222 (22,22%)","0,828775467 (82,88%)",Não há,"R$ 10.000.000,00","R$ 80.000.000,00",Banestes DTVM,Não há,"¹ O cotista poderá informar, junto ao exercício dos direitos de sobras, o quanto ele gostaria de adquirir de cotas no Montante Adicional.","<td><a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=125895&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Fato Relevante</a>, <a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=125896&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Informações sobre Direitos</a>, <a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=125891&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Ato do Administrador</a>, <a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=134345&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Início das Negociações</a></td>","R$ 100,00"
25,BCRI11,9ª,"R$ 107,61",20.07.21,"R$ 199.925.713,53",,Oferta Restrita (ICVM 476),02.08.21,,,31.05.21,Não há,04.06 até 16.06.21Liquidação: 17.06.21,21.06 até 25.06.21Liquidação: 07.07.21,Não há,"0,43181818181 (43,18%)",,Não há,"R$ 10.222.950,00","R$ 245.350.800,00 (R$ 204.459.000,00 + Lote Adicional de R$ 40.891.800,00)",Banestes DTVM,Não há,"¹ O cotista poderá informar, junto ao exercício dos direitos de sobras, o quanto ele gostaria de adquirir de cotas no Montante Adicional.","<td><a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=179389&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Fato Relevante </a>, <a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=179390&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Ato do Administrador</a>, <a href=""https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=181102&amp;flnk"" rel=""noopener noreferrer"" target=""_blank"">Informações sobre Direitos</a>, <a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=187332&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Proporção de Sobras</a>, <a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=189400&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Aviso ao Mercado</a>, <a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=196756&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Anúncio de Encerramento</a>, <a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=196763&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Conversão dos Recibos</a></td>","R$ 107,61"
26,BLCP11,2ª,"R$ 102,59",17.03.21,"R$ 83.787.427,75",,Oferta Restrita (ICVM 476),25.05.21,11.06 e 17.06.21,,,,,,Não há,,,Não há,"R$ 41.737.803,25","R$ 213.112.344,25",Guide Investimentos,Não há,Nenhuma,"<td><a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=156831&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Anúncio de Encerramento</a>, <a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=177682&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Conversão dos Recibos</a></td>","R$ 102,59 (Cota de R$ 100,75 + Taxa de R$ 1,84)"
27,BLMG11,1ª,"R$ 100,00",,"R$ 190.000.000,00",,Oferta Restrita (ICVM 476),,08.02.21,,Não há,Não há,Não há,Não há,Não há,Não há,Não há,Não há,,"R$ 190.000.000,00",,Não há,,"<td><a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=143764&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Início de Negociações</a></td>","R$ 100,00"
28,BLMG11,2ª,"R$ 105,00",23.04.21,"R$ 200.611.740,00",,Oferta Pública (ICVM 400),10.05.21,Não há,,22.03.21,25.03 até 05.04.21,25.03 até 07.04.21Liquidação: 08.04.21,Não há,23.03 até 15.04.21Liquidação: 22.04.21,"2,08751947368 (208,75%)",Não há,"R$ 26.040,00 (248 cotas)","R$ 50.000.018,10","R$ 480.000.012,40 (R$ 400.000.043,95 + Lote Adicional de R$ 79.999.968,45)",XP Investimentos,Igualitário (Linear),Nenhuma,"<td><a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=136727&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Ato do Administrador</a>, <a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=136723&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Fato Relevante</a>, <a href=""https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=164295&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Prospecto Definitivo</a>, <a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=156281&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Aviso ao Mercado</a>, <a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=157300&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Informações sobre Direitos</a>, <a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=166815&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Anúncio de Encerramento</a>, <a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=170851&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Conversão dos Recibos</a></td>","R$ 105,00 (Cota de R$ 100,85 + Taxa de R$ 4,15)"
29,BLMO11,2ª,"R$ 26.233,01",08.08.20,"R$ 35.502.699,39",,Oferta Restrita (ICVM 476),08.03.21,,,03.07.20,Não há,13.07 até 23.07.20Liquidação: 27.07.20,29.07 até 03.08.20Liquidação: 07.08.20,Não há,"1,0023 (100,23%)",,Não há,"R$ 1.013.920,80","R$ 64.992.323,28",Banco J. Safra,Não há,,"<td><a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=152608&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Início de Negociações</a></td>","R$ 26.233,01"
30,BLMR11,2ª,"R$ 98,00",29.01.21,"R$ 201.307.974,00",,Oferta Pública (ICVM 400),12.02.21,Não há,,Não há,Não há,Não há,Não há,16.12 até 21.01.21Liquidação: 29.01.21,Não há,Não há,"R$ 25.088,00 (256 cotas)","R$ 50.000.090,00","R$ 240.000.040,00 (R$ 200.000.066,00 + Lote Adicional de R$ 39.999.974,00)",XP Investimentos,Igualitário (Linear),Nenhuma,"<td><a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=141657&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Anúncio de Início</a>, <a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=141659&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Prospecto Definitivo</a>, <a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=143108&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Anúncio de Encerramento</a>, <a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=145425&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Início de Negociações</a></td>","R$ 98,00 (Cota de R$ 98,00 + Taxa de R$ 0,00)"
31,BPFF11,3ª,"R$ 80,51",14.10.20,"R$ 141.605.082,32",,Oferta Pública (ICVM 400),09.11.20,,,29.01.20,02.09 até 24.09.20,02.09 até 28.09.20Liquidação: 29.09.20,Não há,02.09 até 05.10.20Liquidação: 13.10.20,"1,457 (145,7%)",Não há,"R$ 1.046,63 (13 cotas)","R$ 40.000.057,24","R$ 359.999.910,82 (R$ 299.999.925,68 + Lote Adicional de R$ 59.999.985,14)",Genial Investimentos,Proporcional,,"<td><a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=121451&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Anúncio de Encerramento</a>, <a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=124573&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Conversão de Recibos</a></td>","R$ 80,51 (Cota de R$ 77,48 + Taxa de R$ 3,03)"
32,BRCO11,1ª,"R$ 1,00",,,,Oferta Pública (ICVM 400),,,,Não há,Não há,Não há,Não há,09.10 até 25.11.19Liquidação: 02.12.19,Não há,Não há,"R$ 1.000,00 ( cotas)","R$ 300.000.000,00","R$ 600.000.000,00 (R$ 500.000.000,00 + Lote Adicional de R$ 100.000.000,00)",,,,,"R$ 1,00 (Cota de R$ 1,00 + Taxa de R$ 0,00)"
33,BRCO11,4ª,"R$ 117,02",01.12.20,"R$ 500.000.140,00",,Oferta Pública (ICVM 400),02.12.20,Não há,,03.11.20,06.11 até 16.11.20,06.11 até 18.11.20Liquidação: 19.11.20,Não há,06.11 até 20.11.20Liquidação: 26.11.20,"0,17605611667 (17,61%)",Não há,"R$ 1.170,20 (10 cotas)","R$ 300.000.084,00","R$ 600.000.168,00 (R$ 500.000.140,00 + Lote Adicional de R$ 100.000.028,00)",XP Investimentos,Igualitário (Linear),"¹ Este montante é dividido em R$250 milhões para uma Oferta Primária, R$250 milhões para uma Oferta Secundária e R$100 milhões para o Lote Adicional. Na Oferta Primária, o dinheiro captado vai para o caixa do Fundo. Na Oferta Secundária, o dinheiro vai para os cotistas que estão vendendo as cotas, já que elas não são cotas novas.","<td><a href=""https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=118534&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Fato Relevante</a>, <a href=""https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=119628&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Modificação de Cronograma</a>, <a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=119641&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Aviso ao Mercado</a>, <a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=122315&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Comunicado ao Mercado</a>, <a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=122316&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Aviso ao Mercado</a>, <a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=124565&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Informações sobre Direitos</a>, <a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=124574&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Anúncio de Início</a>, <a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=124617&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Prospecto Definitivo</a>, <a href=""https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=129509&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Anúncio de Encerramento</a></td>","R$ 117,02 (Cota de R$ 113,00 + Taxa de R$ 4,02)"
34,BRCR11,6ª,"R$ 92,00",,,,Oferta Restrita (ICVM 476),,,,01.10.19,Não há,08.10 até 24.10.19Liquidação: 25.10.19,30.10 até 05.11.19Liquidação: 07.11.19,Não há,"0,1744 (17,44%)",,Não há,"R$ 50.000.044,71","R$ 450.000.133,95 (R$ 300.000.089,30 + Lote Adicional de R$ 150.000.044,65)",,Não há,,,"R$ 92,00 (Cota de R$ 89,43 + Taxa de R$ 2,57)"
35,BRCR11,7ª,"R$ 86,63",,,,Oferta Restrita (ICVM 476),,,,22.06.20,Não há,29.06 até 10.07.20Liquidação: 13.07.20,14.07 até 17.07.20Liquidação: 23.07.20,Não há,"0,1352 (13,52%)",,Não há,"R$ 50.000.067,00","R$ 314.600.400,00 (R$ 262.167.000,00 + Lote Adicional de R$ 52.433.400,00)",BTG Pactual,Não há,,,"R$ 86,63 (Cota de R$ 84,57 + Taxa de R$ 2,06)"
36,BREV11,3ª,"R$ 107,57",,,,Oferta Restrita (ICVM 476),,,,,,,,Não há,"2,4112 (241,12%)",,Não há,"R$ 41.136.000,00","R$ 123.989.882,71",,Não há,,"<td><a href=""https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=79433&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Proposta do Administrador</a></td>","R$ 107,57 (Cota de R$ 102,84 + Taxa de R$ 4,73)"
37,BRLA11,1ª,"R$ 100,00",09.09.20,"R$ 39.895.600,00",,Oferta Restrita (ICVM 476),,28.01.21,,Não há,Não há,Não há,Não há,Não há,Não há,Não há,Não há,,,,Não há,,"<td><a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=141727&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Início de Negociações</a></td>","R$ 100,00"
38,BRLA11,2ª,"R$ 100,00",28.10.20,"R$ 41.109.600,00",,Oferta Restrita (ICVM 476),,28.01.21,,,,,,Não há,,,Não há,,,,Não há,,"<td><a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=141727&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Início de Negociações</a></td>","R$ 100,00"
39,BTAL11,1ª,"R$ 104,32",29.01.21,"R$ 598.273.600,00",,Oferta Pública (ICVM 400),04.02.21,Não há,,Não há,Não há,Não há,Não há,28.12 até 20.01.21Liquidação: 28.01.21,Não há,Não há,"R$ 1.043,20 (10 cotas)","R$ 70.000.000,00","R$ 600.000.000,00 (R$ 500.000.000,00 + Lote Adicional de R$ 100.000.000,00)",Guide Investimentos,Proporcional,Nenhuma,"<td><a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=141707&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Prospecto Definitivo</a>, <a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=141709&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Anúncio de Início</a>, <a href=""https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=142970&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Anúncio de Encerramento</a>, <a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=143379&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Início de Negociações</a></td>","R$ 104,32 (Cota de R$ 100,00 + Taxa de R$ 4,32)"
40,BTCR11,3ª,"R$ 100,00",,,,Oferta Restrita (ICVM 476),,17.04.20,,02.01.20,Não há,09.01 até 21.01.20Liquidação: 22.01.20,24.01 até 30.01.20Liquidação: 04.02.20,Não há,"0,4983 (49,83%)",,Não há,"R$ 10.000.000,00","R$ 180.000.000,00 (R$ 150.000.000,00 + Lote Adicional de R$ 30.000.000,00)",Guide Investimentos,Não há,,,"R$ 100,00"
41,BTLG11,10ª,"R$ 109,50",09.06.21,"R$ 240.000.000,87",,Oferta Restrita (ICVM 476),20.07.21,,,11.05.21,Não há,13.05 até 25.05.21Liquidação: 26.05.21,27.05 até 01.06.21Liquidação: 09.06.21,Não há,"0,14404735307 (14,4%)","1,51213590857 (151,21%)",Não há,"R$ 40.000.053,61","R$ 240.000.000,87 (R$ 200.000.054,19 + Lote Adicional de R$ 39.999.946,68)",BTG Pactual,Discricionário,"¹ O cotista poderá informar, junto ao exercício dos direitos de sobras, o quanto ele gostaria de adquirir de cotas no Montante Adicional.","<td><a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=172632&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Ato do Administrador</a>, <a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=172633&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Fato Relevante</a>, <a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=172631&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Informações sobre Direitos</a>, <a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=173042&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Ato do Administrador - Retificação do Cronograma</a>, <a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=173043&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Fato Relevante – Retificação do Cronograma</a>, <a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=179402&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Proporção de Sobras</a>, <a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=195697&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Conversão dos Recibos</a></td>","R$ 109,50 (Cota de R$ 106,93 + Taxa de R$ 2,57)"
42,BTLG11,6ª,"R$ 100,00",,,,Oferta Restrita (ICVM 476),,,,30.10.19,Não há,06.11 até 19.11.19Liquidação: 21.11.19,26.11 até 02.12.19Liquidação: 03.12.19,Não há,"0,091 (9,1%)",,Não há,"R$ 17.000.000,00","R$ 17.000.000,00",,Não há,,,"R$ 100,00 (Cota de R$ 100,00 + Taxa de R$ 0,00)"
43,BTLG11,7ª,"R$ 102,23",,,,Oferta Restrita (ICVM 476),18.03.20,,,15.01.20,Não há,22.01 até 03.02.20Liquidação: 04.02.20,06.02 até 12.02.20Liquidação: 17.02.20,Não há,"0,4897 (48,97%)",,Não há,"R$ 50.000.058,66","R$ 135.000.023,09 (R$ 100.000.017,10 + Lote Adicional de R$ 35.000.005,99)",BTG Pactual,Não há,,,"R$ 102,23 (Cota de R$ 100,22 + Taxa de R$ 2,01)"
44,BTLG11,8ª,"R$ 102,76",,,,Oferta Restrita (ICVM 476),,,,12.06.20,Não há,19.06 até 02.07.20Liquidação: 03.07.20,06.07 até 10.07.20Liquidação: 16.07.20,Não há,"0,8863 (88,63%)",,Não há,"R$ 30.000.000,00","R$ 360.000.000,00 (R$ 300.000.000,00 + Lote Adicional de R$ 60.000.000,00)",BTG Pactual,Não há,,,"R$ 102,76 (Cota de R$ 100,00 + Taxa de R$ 2,76)"
45,BTLG11,9ª,"R$ 103,50",03.11.20,"R$ 600.000.000,00",,Oferta Pública (ICVM 400),08.12.20,Não há,,04.09.20,29.09 até 07.10.20,29.09 até 09.10.20Liquidação: 13.10.20,Não há,15.10 até 26.10.20Liquidação: 30.10.20,"0,7158 (71,58%)",Não há,"R$ 1.035,00 (10 cotas)","R$ 30.000.000,00","R$ 600.000.000,00 (R$ 500.000.000,00 + Lote Adicional de R$ 100.000.000,00)",BTG Pactual,Proporcional,Nenhuma,"<td><a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=115235"" rel=""noopener noreferrer"" target=""_blank"">Ato do Administrador</a>, <a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=115237"" rel=""noopener noreferrer"" target=""_blank"">Informações sobre Direitos</a>, <a href=""https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=117720&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Prospecto Definitivo</a>, <a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=115238"" rel=""noopener noreferrer"" target=""_blank"">Fato Relevante</a>, <a href=""https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=115263&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Aviso ao Mercado</a>, <a href=""https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=117719&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Anúncio de Início</a>, <a href=""https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=124609&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Anúncio de Encerramento</a>, <a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=130452&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Início das Negociações</a></td>","R$ 103,50 (Cota de R$ 100,00 + Taxa de R$ 3,50)"
46,BTRA11,1ª,"R$ 104,15",06.07.21,"R$ 350.418.819,85",,Oferta Pública (ICVM 400),28.07.21,Não há,,Não há,Não há,Não há,Não há,27.05 até 24.06.21Liquidação: 29.06.21,Não há,Não há,"R$ 10.415,00 (100 cotas)","R$ 141.000.000,00","R$ 780.000.000,00 (R$ 650.000.000,00 + Lote Adicional de R$ 130.000.000,00)",BTG Pactual,Proporcional,,"<td><a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=181154&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Comunicado sobre Modificação da Oferta</a>, <a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=183125&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Aviso ao Mercado</a>, <a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=183124&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Prospecto Preliminar</a>, <a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=188614&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Anúncio de Início</a>,  <a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=188615&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Prospecto Definitivo</a>, <a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=191100&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Anúncio de Encerramento</a>, <a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=194272&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Conversão dos Recibos</a></td>","R$ 104,15 (Cota de R$ 100,00 + Taxa de R$ 4,15)"
47,BTSG11,2ª,"R$ 100,00",02.07.21,"R$ 3.001.500,00",,Oferta Restrita (ICVM 476),24.08.21,,,25.06.21,Não há,28.06 até 30.06.21Liquidação: 02.07.21,28.06 até 30.06.21Liquidação: 02.07.21,Não há,"0,0403006711409 (4,03%)",,Não há,"R$ 3.000.000,00",#VALEUR!,Banco Inter,Proporcional,,"<td><a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=188668&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Fato Relevante </a>, <a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=188659&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Informações sobre Direitos</a>, <a href=""http://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=190797&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Anúncio de Encerramento</a>, <a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=207407&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Conversão dos Recibos</a></td>","R$ 100,00 (Cota de R$ 100,00 + Taxa de R$ 0,00)"
